Season,Episode,Rating,Viewers
1,1,8.9,2.22
1,2,8.6,2.2
1,3,8.5,2.44
1,4,8.6,2.45
1,5,9,2.58
1,6,9.1,2.44
1,7,9.1,2.4
1,8,8.9,2.72
1,9,9.6,2.66
1,10,9.4,3.04
2,1,8.7,3.86
2,2,8.4,3.76
2,3,8.7,3.77
2,4,8.6,3.65
2,5,8.6,3.9
2,6,8.9,3.88
2,7,8.8,3.69
2,8,8.6,3.86
2,9,9.6,3.38
2,10,9.3,4.2
3,1,8.7,4.37
3,2,8.5,4.27
3,3,8.7,4.72
3,4,9.5,4.87
3,5,8.9,5.35
3,6,8.7,5.5
3,7,8.6,4.84
3,8,8.9,5.13
3,9,9.9,5.22
3,10,9.1,5.39
4,1,9,6.64
4,2,9.7,6.31
4,3,8.8,6.59
4,4,8.7,6.95
4,5,8.6,7.16
4,6,9.7,6.4
4,7,9,7.2
4,8,9.6,7.17
4,9,9.6,6.95
4,10,9.6,7.09
5,1,8.4,8
5,2,8.4,6.81
5,3,8.4,6.71
5,4,8.6,6.82
5,5,8.5,6.56
5,6,7.9,6.24
5,7,8.9,5.4
5,8,9.8,7.01
5,9,9.4,7.14
5,10,9.1,8.11
6,1,8.4,7.94
6,2,9.3,7.29
6,3,8.6,7.28
6,4,9,7.82
6,5,9.7,7.89
6,6,8.3,6.71
6,7,8.5,7.8
6,8,8.3,7.6
6,9,9.9,7.66
6,10,9.9,8.89
7,1,8.5,10.11
7,2,8.8,9.27
7,3,9.1,9.25
7,4,9.7,10.17
7,5,8.7,10.72
7,6,9,10.24
7,7,9.4,12.07
8,1,7.6,11.76
8,2,7.9,10.29
8,3,7.5,12.02
8,4,5.5,11.8
8,5,6,12.48
8,6,4.1,13.61
